lv1,lv2,lv3,lv4,lv5
网络资源,应用服务,有机服务,文件传输,ftp
网络资源,应用服务,有机服务,远程登录,ssh
网络资源,应用服务,有机服务,远程登录,telnet
网络资源,应用服务,有机服务,邮件传输,smtp
网络资源,应用服务,无机服务,域名,dns
网络资源,应用服务,有机服务,文件传输,tftp
网络资源,应用服务,无机服务,信息获取,finger
网络资源,应用服务,无机服务,网络传输,http
网络资源,应用服务,无机服务,远程过程调用,rpcbind
网络资源,应用服务,无机服务,身份验证,ident
网络资源,应用服务,无机服务,新闻传输,nntp
网络资源,应用服务,无机服务,远程过程调用,msrpc
网络资源,应用服务,无机服务,信息获取,netbios-ns
网络资源,应用服务,有机服务,共享,netbios-ssn
网络资源,应用服务,有机服务,邮件传输,imap
网络资源,应用服务,有机服务,网络管理,snmp
网络资源,应用服务,无机服务,网络传输,https
网络资源,应用服务,无机服务,流传输,rtsp
网络资源,应用服务,无机服务,代理服务,socks
网络资源,应用服务,有机服务,媒体服务,wms
网络资源,应用服务,有机服务,QQ,remoteanything
网络资源,应用服务,无机服务,远程控制,pcanywherestat
网络资源,应用服务,无机服务,代理服务,http-proxy
网络资源,基础设施,自治域,,
网络资源,基础设施,网络,,
网络资源,基础设施,交换节点,,
网络资源,基础设施,链路,,
网络资源,基础设施,终端节点,服务器,
网络资源,基础设施,终端节点,笔记本,
网络资源,数据资源,代码,,
网络资源,数据资源,文本,,
网络资源,数据资源,图片,,
网络资源,数据资源,音频,,
网络资源,数据资源,视频,,
