ip, state, numofp
59.66.3.1,up,4
59.66.3.25,up,16
59.66.3.33,up,2
59.66.3.35,up,3
59.66.3.40,up,0
59.66.3.105,up,0
59.66.3.106,up,3
59.66.3.253,up,5
59.66.4.41,up,6
59.66.4.42,up,4
59.66.4.49,up,6
59.66.4.50,up,0
59.66.4.57,up,0
59.66.4.58,up,4
59.66.4.101,up,6
59.66.4.102,up,2
59.66.4.105,up,6
59.66.4.106,up,2
59.66.4.121,up,0
59.66.4.122,up,2
59.66.4.133,up,6
59.66.4.134,up,0
59.66.4.141,up,6
59.66.4.142,up,4
59.66.4.153,up,5
59.66.4.154,up,7
59.66.4.157,up,5
59.66.4.158,up,7
59.66.4.177,up,6
59.66.4.178,up,1
59.66.4.181,up,5
59.66.4.182,up,1
59.66.8.69,up,6
59.66.8.70,up,1
59.66.8.73,up,6
59.66.8.74,up,1
59.66.8.121,up,5
59.66.8.122,up,2
59.66.8.145,up,5
59.66.8.146,up,5
59.66.8.209,up,6
59.66.8.210,up,2
59.66.9.121,up,5
59.66.9.122,up,3
59.66.9.209,up,5
59.66.9.210,up,2
59.66.12.1,up,5
59.66.12.3,up,7
59.66.12.8,up,3
59.66.12.10,up,4
59.66.12.14,up,9
59.66.12.15,up,10
59.66.12.26,up,15
59.66.12.32,up,14
59.66.12.38,up,2
59.66.12.40,up,7
59.66.12.41,up,2
59.66.12.43,up,11
59.66.12.44,up,4
59.66.12.49,up,6
59.66.12.55,up,2
59.66.12.56,up,2
59.66.12.74,up,2
59.66.12.84,up,11
59.66.12.104,up,2
59.66.12.108,up,8
59.66.14.1,up,5
59.66.14.6,up,2
59.66.16.111,up,8
59.66.17.0,up,1
59.66.17.1,up,3
59.66.17.2,up,2
59.66.17.3,up,1
59.66.17.5,up,2
59.66.17.41,up,2
59.66.17.42,up,15
59.66.17.45,up,15
59.66.17.84,up,1
59.66.17.86,up,3
59.66.17.87,up,1
59.66.17.105,up,3
59.66.18.1,up,2
59.66.18.13,up,0
59.66.18.14,up,0
59.66.18.24,up,0
59.66.18.25,up,0
59.66.18.26,up,0
59.66.18.27,up,0
59.66.18.72,up,0
59.66.18.73,up,0
59.66.18.74,up,0
59.66.18.75,up,0
59.66.18.76,up,0
59.66.18.81,up,0
59.66.18.84,up,0
59.66.18.86,up,0
59.66.18.88,up,0
59.66.18.95,up,0
59.66.18.112,up,3
59.66.18.113,up,3
59.66.18.124,up,18
59.66.18.125,up,15
59.66.18.126,up,18
59.66.21.0,up,0
59.66.21.1,up,3
59.66.21.3,up,4
59.66.24.1,up,2
59.66.24.253,up,18
59.66.24.254,up,18
59.66.33.79,up,3
59.66.41.1,up,5
59.66.41.2,up,5
59.66.41.3,up,2
59.66.41.4,up,2
59.66.41.5,up,2
59.66.41.7,up,2
59.66.41.8,up,2
59.66.41.9,up,2
59.66.41.10,up,2
59.66.41.11,up,5
59.66.41.12,up,2
59.66.41.13,up,2
59.66.41.14,up,2
59.66.41.15,up,2
59.66.41.16,up,2
59.66.41.17,up,2
59.66.41.18,up,2
59.66.41.20,up,2
59.66.41.22,up,2
59.66.41.23,up,2
59.66.41.24,up,2
59.66.41.30,up,5
59.66.41.40,up,2
59.66.41.78,up,2
59.66.41.82,up,2
59.66.41.98,up,7
59.66.41.205,up,3
59.66.41.209,up,2
59.66.41.226,up,4
59.66.41.252,up,2
59.66.42.1,up,5
59.66.42.2,up,2
59.66.42.3,up,2
59.66.42.4,up,2
59.66.42.5,up,2
59.66.42.6,up,2
59.66.42.7,up,2
59.66.42.8,up,2
59.66.42.9,up,2
59.66.42.10,up,2
59.66.42.11,up,2
59.66.42.12,up,2
59.66.42.14,up,2
59.66.42.15,up,2
59.66.42.110,up,2
59.66.42.114,up,2
59.66.42.128,up,2
59.66.42.133,up,2
59.66.42.145,up,2
59.66.42.149,up,2
59.66.42.162,up,2
59.66.42.171,up,2
59.66.42.174,up,2
59.66.42.182,up,2
59.66.42.186,up,2
59.66.42.196,up,4
59.66.42.219,up,2
59.66.42.223,up,0
59.66.43.1,up,5
59.66.43.17,up,2
59.66.43.18,up,2
59.66.43.19,up,2
59.66.43.20,up,2
59.66.43.22,up,2
59.66.43.23,up,2
59.66.43.24,up,2
59.66.44.202,up,9
59.66.44.219,up,0
59.66.44.223,up,1
59.66.44.244,up,0
59.66.45.8,up,0
59.66.45.18,up,1
59.66.45.26,up,0
59.66.45.31,up,7
59.66.45.52,up,3
59.66.45.135,up,0
59.66.45.241,up,0
59.66.46.10,up,0
59.66.46.102,up,0
59.66.46.130,up,0
59.66.46.160,up,0
59.66.46.174,up,0
59.66.48.1,up,5
59.66.48.10,up,0
59.66.48.12,up,1
59.66.48.14,up,0
59.66.48.15,up,0
59.66.48.20,up,0
59.66.48.25,up,3
59.66.48.27,up,1
59.66.48.30,up,0
59.66.48.37,up,0
59.66.48.38,up,1
59.66.48.48,up,0
59.66.48.66,up,0
59.66.48.69,up,11
59.66.48.75,up,0
59.66.48.76,up,0
59.66.48.81,up,2
59.66.48.95,up,1
59.66.48.101,up,3
59.66.48.110,up,1
59.66.48.113,up,10
59.66.48.120,up,0
59.66.48.131,up,0
59.66.48.141,up,0
59.66.48.143,up,0
59.66.48.144,up,0
59.66.48.150,up,1
59.66.48.152,up,0
59.66.48.163,up,0
59.66.48.166,up,1
59.66.48.169,up,0
59.66.48.177,up,0
59.66.48.185,up,0
59.66.48.188,up,0
59.66.48.200,up,0
59.66.48.206,up,0
59.66.48.214,up,3
59.66.48.218,up,0
59.66.48.220,up,0
59.66.48.222,up,0
59.66.48.233,up,3
59.66.48.240,up,1
59.66.48.243,up,0
59.66.48.251,up,0
59.66.49.3,up,0
59.66.49.10,up,7
59.66.49.19,up,0
59.66.49.31,up,0
59.66.49.48,up,2
59.66.49.51,up,0
59.66.49.54,up,0
59.66.49.64,up,1
59.66.49.81,up,0
59.66.49.85,up,0
59.66.49.106,up,13
59.66.49.117,up,0
59.66.49.121,up,0
59.66.49.142,up,3
59.66.49.208,up,0
59.66.49.238,up,1
59.66.49.245,up,0
59.66.50.15,up,0
59.66.50.30,up,3
59.66.50.101,up,0
59.66.50.171,up,4
59.66.50.172,up,0
59.66.50.174,up,0
59.66.50.200,up,0
59.66.50.219,up,0
59.66.50.234,up,6
59.66.51.174,up,4
59.66.52.1,up,5
59.66.52.14,up,0
59.66.52.23,up,3
59.66.52.24,up,0
59.66.52.25,up,0
59.66.52.28,up,1
59.66.52.30,up,1
59.66.52.31,up,0
59.66.52.36,up,0
59.66.52.39,up,0
59.66.53.189,up,0
59.66.53.210,up,0
59.66.54.44,up,1
