id, state, name
21,open,ftp
22,open,ssh
23,open,telnet
111,open,rpcbind
22,open,ssh
50300,filtered,unknown
50500,filtered,unknown
50636,filtered,unknown
50800,filtered,unknown
51103,filtered,unknown
52673,filtered,unknown
52822,filtered,unknown
52848,filtered,unknown
52869,filtered,unknown
54045,filtered,unknown
54328,filtered,unknown
55055,filtered,unknown
55056,filtered,unknown
55555,filtered,unknown
55600,filtered,unknown
22,open,ssh
23,open,telnet
23,open,telnet
80,open,http
6666,open,irc
22,open,ssh
23,open,telnet
79,open,finger
20,filtered,ftp-data
21,filtered,ftp
22,filtered,ssh
23,filtered,telnet
161,filtered,snmp
20,filtered,ftp-data
21,filtered,ftp
22,filtered,ssh
23,filtered,telnet
111,open,rpcbind
161,filtered,snmp
22,open,ssh
23,open,telnet
80,open,http
443,open,https
20,filtered,ftp-data
21,filtered,ftp
22,filtered,ssh
23,filtered,telnet
111,open,rpcbind
161,filtered,snmp
22,open,ssh
23,open,telnet
80,open,http
443,open,https
20,filtered,ftp-data
21,filtered,ftp
22,filtered,ssh
23,filtered,telnet
111,open,rpcbind
161,filtered,snmp
23,open,telnet
80,open,http
20,filtered,ftp-data
21,filtered,ftp
22,filtered,ssh
23,filtered,telnet
111,open,rpcbind
161,filtered,snmp
23,open,telnet
80,open,http
23,open,telnet
79,open,finger
20,filtered,ftp-data
21,filtered,ftp
22,filtered,ssh
23,filtered,telnet
111,open,rpcbind
161,filtered,snmp
20,filtered,ftp-data
21,filtered,ftp
22,filtered,ssh
23,filtered,telnet
111,open,rpcbind
161,filtered,snmp
23,open,telnet
50300,filtered,unknown
50389,filtered,unknown
50500,filtered,unknown
20,filtered,ftp-data
21,filtered,ftp
22,filtered,ssh
23,filtered,telnet
161,filtered,snmp
23,open,telnet
80,open,http
50300,filtered,unknown
50389,filtered,unknown
50500,filtered,unknown
50636,filtered,unknown
50800,filtered,unknown
20,filtered,ftp-data
21,filtered,ftp
22,filtered,ssh
23,filtered,telnet
161,filtered,snmp
23,open,telnet
80,open,http
50300,filtered,unknown
50389,filtered,unknown
50500,filtered,unknown
50636,filtered,unknown
50800,filtered,unknown
20,filtered,ftp-data
21,filtered,ftp
22,filtered,ssh
23,filtered,telnet
111,open,rpcbind
161,filtered,snmp
23,open,telnet
20,filtered,ftp-data
21,filtered,ftp
22,filtered,ssh
23,filtered,telnet
161,filtered,snmp
23,open,telnet
20,filtered,ftp-data
21,filtered,ftp
22,filtered,ssh
23,filtered,telnet
111,open,rpcbind
161,filtered,snmp
23,open,telnet
20,filtered,ftp-data
21,filtered,ftp
22,filtered,ssh
23,filtered,telnet
111,open,rpcbind
161,filtered,snmp
23,open,telnet
20,filtered,ftp-data
21,filtered,ftp
22,filtered,ssh
23,filtered,telnet
161,filtered,snmp
22,open,ssh
41511,filtered,unknown
20,filtered,ftp-data
21,filtered,ftp
22,filtered,ssh
23,filtered,telnet
161,filtered,snmp
22,filtered,ssh
23,open,telnet
80,filtered,http
179,filtered,bgp
646,filtered,ldp
20,filtered,ftp-data
21,filtered,ftp
22,filtered,ssh
23,filtered,telnet
111,open,rpcbind
161,filtered,snmp
23,open,telnet
50300,filtered,unknown
20,filtered,ftp-data
21,filtered,ftp
22,filtered,ssh
23,filtered,telnet
161,filtered,snmp
22,open,ssh
40911,filtered,unknown
41511,filtered,unknown
20,filtered,ftp-data
21,filtered,ftp
22,filtered,ssh
23,filtered,telnet
161,filtered,snmp
23,open,telnet
50300,filtered,unknown
20,filtered,ftp-data
21,filtered,ftp
22,filtered,ssh
23,filtered,telnet
161,filtered,snmp
80,open,http
1801,open,msmq
2100,open,amiganetfs
2103,open,zephyr-clt
2105,open,eklogin
2107,open,msmq-mgmt
6112,open,dtspc
23,filtered,telnet
161,filtered,snmp
5900,open,vnc
23,filtered,telnet
161,filtered,snmp
1080,open,socks
4662,open,edonkey
23,filtered,telnet
135,filtered,msrpc
139,filtered,netbios-ssn
161,filtered,snmp
445,filtered,microsoft-ds
1110,filtered,nfsd-status
2869,filtered,icslap
3389,filtered,ms-wbt-server
19780,filtered,unknown
23,filtered,telnet
135,open,msrpc
139,open,netbios-ssn
161,filtered,snmp
445,open,microsoft-ds
49152,open,unknown
49153,open,unknown
49154,open,unknown
49158,open,unknown
49160,open,unknown
23,filtered,telnet
135,open,msrpc
139,open,netbios-ssn
161,filtered,snmp
445,open,microsoft-ds
843,open,unknown
902,open,iss-realsecure
912,open,apex-mesh
3389,open,ms-wbt-server
3580,open,nati-svrloc
7000,open,afs3-fileserver
8000,open,http-alt
8080,open,http-proxy
8084,open,unknown
15000,open,hydap
23,filtered,telnet
135,open,msrpc
139,open,netbios-ssn
161,filtered,snmp
443,open,https
445,open,microsoft-ds
902,open,iss-realsecure
912,open,apex-mesh
1025,open,NFS-or-IIS
1026,open,LSA-or-nterm
1027,open,IIS
